InternshipID,Company,RoleTitle,Skills,Sector,City,State,Paid,Stipend_INR,Duration_months,PostingDate,Source
PMIS-100001,Tech Mahindra,Industrial Engineering Intern,"PLC, LEAN, Automation",Manufacturing,Chennai,Tamil Nadu,Yes,5000,12,2024-11-22,PMIS_portal_inferred/synthesized
PMIS-100002,Nestle India,Finance Intern,"Risk Analysis, Excel, Python",Banking & Finance,Bengaluru,Karnataka,Yes,5000,12,2025-01-20,PMIS_portal_inferred/synthesized
PMIS-100003,Bharti Airtel,Backend Developer Intern,"REST APIs, Git, Algorithms",IT & Software,Gurgaon,Haryana,Yes,5000,12,2025-05-18,PMIS_portal_inferred/synthesized
PMIS-100004,JSW Steel,Brand Marketing Intern,"Brand Management, Market Research, Excel",FMCG,Jaipur,Rajasthan,Yes,5000,12,2025-02-20,PMIS_portal_inferred/synthesized
PMIS-100005,Wipro,RF Engineering Intern,"Network Basics, Signal Processing, Python",Telecom,Hyderabad,Telangana,Yes,5000,12,2025-04-02,PMIS_portal_inferred/synthesized
PMIS-100006,Axis Bank,Brand Marketing Intern,"Excel, Market Research, Marketing",FMCG,Bhopal,Madhya Pradesh,Yes,5000,12,2024-11-10,PMIS_portal_inferred/synthesized
PMIS-100007,PhonePe,Supply Chain Intern,"Excel, Route Optimization, Operations",Logistics & Travel,Delhi,Delhi,Yes,5000,12,2025-09-04,PMIS_portal_inferred/synthesized
PMIS-100008,Bharti Airtel,Operations Intern,"Excel, Operations, SQL",Logistics & Travel,Noida,Uttar Pradesh,Yes,5000,12,2025-05-21,PMIS_portal_inferred/synthesized
PMIS-100009,Tech Mahindra,HR Intern,"Recruitment, MS Office, Communication",HR & Admin,Noida,Uttar Pradesh,Yes,5000,12,2025-09-25,PMIS_portal_inferred/synthesized
PMIS-100010,Nestle India,Finance Intern,"Financial Modelling, Python, Excel",Banking & Finance,Visakhapatnam,Andhra Pradesh,Yes,5000,12,2025-04-13,PMIS_portal_inferred/synthesized
PMIS-100011,Adani Enterprises,HSE Intern,"Chemical Engineering, MATLAB, Process Design",Energy & Oil & Gas,Jaipur,Rajasthan,Yes,5000,12,2025-04-24,PMIS_portal_inferred/synthesized
